x,y,z,orientation,qx,qy,qz,qw,success
0.12,-0.08,0.03,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,-0.08,0.05,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,-0.08,0.07,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.08,0.09,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.08,0.11,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.08,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.08,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.08,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.08,0.19,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,-0.04,0.03,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.04,0.05,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,-0.04,0.07,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.04,0.09,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.04,0.11,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.04,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.04,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.04,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,-0.04,0.19,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.0,0.03,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.0,0.05,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.0,0.07,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.0,0.09,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,0.0,0.11,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.0,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.0,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.0,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.0,0.19,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.04,0.03,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.04,0.05,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,0.04,0.07,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,0.04,0.09,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,0.04,0.11,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.04,0.13,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,0.04,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.04,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.04,0.19,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.08,0.03,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,0.08,0.05,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.08,0.07,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,0.08,0.09,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.08,0.11,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.08,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.08,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.12,0.08,0.17,top-down,-0.7071,0.0,0.0,0.7071,0
0.12,0.08,0.19,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.08,0.03,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.08,0.05,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.08,0.07,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.08,0.09,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.08,0.11,top-down,-0.7071,0.0,0.0,0.7071,0
0.14,-0.08,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.08,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.08,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.08,0.19,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.04,0.03,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.04,0.05,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.04,0.07,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.04,0.09,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.04,0.11,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.04,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.04,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.04,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,-0.04,0.19,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.0,0.03,top-down,-0.7071,0.0,0.0,0.7071,0
0.14,0.0,0.05,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.0,0.07,top-down,-0.7071,0.0,0.0,0.7071,0
0.14,0.0,0.09,top-down,-0.7071,0.0,0.0,0.7071,0
0.14,0.0,0.11,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.0,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.0,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.0,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.0,0.19,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.04,0.03,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.04,0.05,top-down,-0.7071,0.0,0.0,0.7071,0
0.14,0.04,0.07,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.04,0.09,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.04,0.11,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.04,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.04,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.04,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.04,0.19,top-down,-0.7071,0.0,0.0,0.7071,0
0.14,0.08,0.03,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.08,0.05,top-down,-0.7071,0.0,0.0,0.7071,0
0.14,0.08,0.07,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.08,0.09,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.08,0.11,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.08,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.08,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.08,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.14,0.08,0.19,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,-0.08,0.03,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,-0.08,0.05,top-down,-0.7071,0.0,0.0,0.7071,0
0.16,-0.08,0.07,top-down,-0.7071,0.0,0.0,0.7071,0
0.16,-0.08,0.09,top-down,-0.7071,0.0,0.0,0.7071,0
0.16,-0.08,0.11,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,-0.08,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,-0.08,0.15,top-down,-0.7071,0.0,0.0,0.7071,0
0.16,-0.08,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,-0.08,0.19,top-down,-0.7071,0.0,0.0,0.7071,0
0.16,-0.04,0.03,top-down,-0.7071,0.0,0.0,0.7071,0
0.16,-0.04,0.05,top-down,-0.7071,0.0,0.0,0.7071,0
0.16,-0.04,0.07,top-down,-0.7071,0.0,0.0,0.7071,0
0.16,-0.04,0.09,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,-0.04,0.11,top-down,-0.7071,0.0,0.0,0.7071,0
0.16,-0.04,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,-0.04,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,-0.04,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,-0.04,0.19,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,0.0,0.03,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,0.0,0.05,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,0.0,0.07,top-down,-0.7071,0.0,0.0,0.7071,0
0.16,0.0,0.09,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,0.0,0.11,top-down,-0.7071,0.0,0.0,0.7071,0
0.16,0.0,0.13,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,0.0,0.15,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,0.0,0.17,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,0.0,0.19,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,0.04,0.03,top-down,-0.7071,0.0,0.0,0.7071,1
0.16,0.04,0.05,top-down,-0.7071,0.0,0.0,0.7071,0
